GRB100606A nan             
GRB100526B nan             
GRB100526A nan             
GRB100522A nan             
GRB100514A nan             
GRB100513A 0.542             
GRB100508A 1.398             
GRB100504A nan             
GRB100427A nan             
GRB100425A 4.772             
GRB100424A 0.5201             
GRB100423A nan             
GRB100420A nan             
GRB100418A 1.755             
GRB100413A nan             
GRB100413B nan             
GRB100401A nan             
GRB100324A nan             
GRB100322B nan             
GRB100316D 2.465             
GRB100316C nan             
GRB100316B 0.6239             
GRB100316A 0.0591             
GRB100305A nan             
GRB100302A 1.18             
GRB100224A nan             
GRB100219A 3.155             
GRB100216A nan             
GRB100213B 4.813             
GRB100213A nan             
GRB100212A nan             
GRB100206A nan             
GRB100205A nan             
GRB100203A nan             
GRB100119A nan             
GRB100117A 4.66723             
GRB100115A nan             
GRB100111A nan             
GRB091221 nan             
GRB091208B 0.604             
GRB091208A nan             
GRB091130B nan             
GRB091127 0.915             
GRB091117 nan             
GRB091112 nan             
GRB091109B nan             
GRB091109A 1.0633             
GRB091104 nan             
GRB091102 nan             
GRB091029 0.49044             
GRB091026 nan             
GRB091024 3.076             
GRB091020 2.752             
GRB091018 1.092             
GRB090929B nan             
GRB090927 1.71             
GRB090926B 0.971             
GRB090916 nan             
GRB090915 nan             
GRB090912 nan             
GRB090904B nan             
GRB090904A nan             
GRB090831C nan             
GRB090827 nan             
GRB090823 nan             
GRB090815C nan             
GRB090814A 1.37             
GRB090813 nan             
GRB090812 1.24             
GRB090809A 0.696             
GRB090807A nan             
GRB090728 nan             
GRB090727 nan             
GRB090726 2.452             
GRB090720A nan             
GRB090715B 2.737             
GRB090715A nan             
GRB090712 nan             
GRB090709B nan             
GRB090709A 2.71             
GRB090708 nan             
GRB090628 nan             
GRB090621B nan             
GRB090621A nan             
GRB090618 3             
GRB090607 nan             
GRB090531B nan             
GRB090531A nan             
GRB090530 1.8             
GRB090529A 0.54             
GRB090520 nan             
GRB090519 1.266             
GRB090518 nan             
GRB090516A 2.625             
GRB090515 nan             
GRB090510 3.85             
GRB090509 nan             
GRB090429B 4.109             
GRB090429A nan             
GRB090426 0.903             
GRB090424 9.38             
GRB090423 2.609             
GRB090422 nan             
GRB090419 nan             
GRB090418A 0.544             
GRB090418B nan             
GRB090417B 8.26             
GRB090417A nan             
GRB090410 nan             
GRB090407 1.608             
GRB090404 0.345             
GRB090401B nan             
GRB090401A nan             
GRB090313 1.4485             
GRB090309A nan             
GRB090308A nan             
GRB090307A nan             
GRB090306B nan             
GRB090305A nan             
GRB090301A nan             
GRB090205 2.87             
GRB090201 3.3736             
GRB090129 nan             
GRB090123 nan             
GRB090118 nan             
GRB090113 4.6497             
GRB090111 nan             
GRB090107A nan             
GRB090102 2.1             
GRB081230 1.7493             
GRB081228 1.547             
GRB081226A nan             
GRB081222 2.03             
GRB081221 3.44             
GRB081211A nan             
GRB081211B 2.77             
GRB081210 nan             
GRB081203A 2.26             
GRB081203B nan             
GRB081128 nan             
GRB081127 nan             
GRB081126 nan             
GRB081121 0.216             
GRB081118 2.05             
GRB081109A 2.512             
GRB081105A nan             
GRB081104 nan             
GRB081102 nan             
GRB081101 nan             
GRB081029 2.58             
GRB081028A 0.9787             
